timestamp,GMXXX_NO2 (ppm),GMXXX_Ethanol (ppm),GMXXX_VOC (ppm),GMXXX_CO (ppm),MiCS5524_CO (ppm),MiCS5524_Ethanol (ppm),MiCS5524_VOC (ppm),label
1765202433775,0.873000,0.636000,0.125000,0.054000,4.300000,3.316000,1.312000,level_1_state_2
1765202434534,0.873000,0.636000,0.124000,0.055000,4.110000,3.126000,1.246000,level_1_state_2
1765202448749,0.868000,0.635000,0.118000,0.055000,4.882000,3.916000,1.515000,level_1_state_2
1765202450466,0.866000,0.635000,0.117000,0.054000,3.922000,2.940000,1.182000,level_1_state_2
1765202451274,0.865000,0.635000,0.116000,0.054000,4.300000,3.316000,1.312000,level_1_state_2
1765202451577,0.865000,0.636000,0.116000,0.053000,4.110000,3.126000,1.246000,level_1_state_2
1765202452285,0.864000,0.636000,0.115000,0.053000,3.922000,2.940000,1.182000,level_1_state_2
1765202452741,0.865000,0.636000,0.115000,0.053000,3.922000,2.940000,1.182000,level_1_state_2
1765202453499,0.864000,0.636000,0.114000,0.053000,3.922000,2.940000,1.182000,level_1_state_2
1765202453904,0.862000,0.637000,0.114000,0.053000,3.922000,2.940000,1.182000,level_1_state_2
1765202454006,0.864000,0.636000,0.114000,0.053000,3.829000,2.849000,1.150000,level_1_state_2
1765202454460,0.862000,0.636000,0.114000,0.053000,3.644000,2.671000,1.087000,level_1_state_2
1765202455676,0.863000,0.636000,0.113000,0.053000,3.922000,2.940000,1.182000,level_1_state_2
1765202456536,0.863000,0.636000,0.113000,0.054000,3.736000,2.759000,1.119000,level_1_state_2
1765202456990,0.862000,0.637000,0.113000,0.053000,3.922000,2.940000,1.182000,level_1_state_2
1765202457041,0.863000,0.636000,0.112000,0.054000,3.922000,2.940000,1.182000,level_1_state_2
1765202460125,0.862000,0.637000,0.112000,0.054000,3.644000,2.671000,1.087000,level_1_state_2
1765202461644,0.862000,0.637000,0.112000,0.053000,4.110000,3.126000,1.246000,level_1_state_2
1765202463362,0.862000,0.637000,0.111000,0.053000,4.016000,3.033000,1.214000,level_1_state_2
1765202464422,0.861000,0.635000,0.111000,0.053000,3.736000,2.759000,1.119000,level_1_state_2
1765202464675,0.861000,0.637000,0.110000,0.053000,3.922000,2.940000,1.182000,level_1_state_2
1765202465332,0.861000,0.637000,0.110000,0.053000,3.829000,2.849000,1.150000,level_1_state_2
1765202465890,0.861000,0.635000,0.109000,0.053000,3.829000,2.849000,1.150000,level_1_state_2
1765202466445,0.861000,0.637000,0.109000,0.053000,3.829000,2.849000,1.150000,level_1_state_2
1765202467204,0.861000,0.637000,0.109000,0.053000,3.922000,2.940000,1.182000,level_1_state_2
1765202468366,0.859000,0.637000,0.109000,0.053000,3.829000,2.849000,1.150000,level_1_state_2
1765202469278,0.861000,0.637000,0.109000,0.053000,3.922000,2.940000,1.182000,level_1_state_2
1765202470188,0.862000,0.636000,0.109000,0.053000,3.644000,2.671000,1.087000,level_1_state_2
1765202470441,0.861000,0.637000,0.109000,0.053000,3.736000,2.759000,1.119000,level_1_state_2
1765202471199,0.861000,0.635000,0.109000,0.054000,3.644000,2.671000,1.087000,level_1_state_2
1765202471300,0.860000,0.637000,0.109000,0.053000,3.736000,2.759000,1.119000,level_1_state_2
1765202472310,0.861000,0.637000,0.109000,0.053000,3.644000,2.671000,1.087000,level_1_state_2
1765202472918,0.860000,0.636000,0.108000,0.053000,3.922000,2.940000,1.182000,level_1_state_2
1765202473626,0.859000,0.637000,0.108000,0.053000,3.736000,2.759000,1.119000,level_1_state_2
1765202473829,0.859000,0.636000,0.108000,0.053000,3.736000,2.759000,1.119000,level_1_state_2
1765202474436,0.858000,0.636000,0.108000,0.053000,3.644000,2.671000,1.087000,level_1_state_2
1765202474588,0.858000,0.636000,0.107000,0.053000,3.829000,2.849000,1.150000,level_1_state_2
1765202474740,0.857000,0.636000,0.107000,0.053000,3.552000,2.583000,1.057000,level_1_state_2
