timestamp,GMXXX_NO2 (ppm),GMXXX_Ethanol (ppm),GMXXX_VOC (ppm),GMXXX_CO (ppm),MiCS5524_CO (ppm),MiCS5524_Ethanol (ppm),MiCS5524_VOC (ppm),label
1765203860666,0.828000,0.612000,0.218000,0.140000,8.176000,7.685000,2.718000,level_1_state_1
1765203861223,0.826000,0.612000,0.216000,0.139000,8.063000,7.546000,2.675000,level_1_state_1
1765203861477,0.826000,0.613000,0.214000,0.138000,7.950000,7.408000,2.633000,level_1_state_1
1765203862085,0.827000,0.612000,0.214000,0.137000,7.837000,7.271000,2.590000,level_1_state_1
1765203862591,0.826000,0.612000,0.212000,0.136000,7.725000,7.135000,2.549000,level_1_state_1
1765203863349,0.825000,0.612000,0.212000,0.136000,7.837000,7.271000,2.590000,level_1_state_1
1765203864159,0.824000,0.611000,0.206000,0.134000,7.613000,7.001000,2.507000,level_1_state_1
1765203864564,0.823000,0.612000,0.205000,0.133000,7.502000,6.867000,2.465000,level_1_state_1
1765203864868,0.823000,0.611000,0.204000,0.133000,7.613000,7.001000,2.507000,level_1_state_1
1765203865576,0.823000,0.611000,0.202000,0.133000,7.502000,6.867000,2.465000,level_1_state_1
1765203865627,0.822000,0.611000,0.202000,0.132000,7.613000,7.001000,2.507000,level_1_state_1
1765203866435,0.822000,0.611000,0.201000,0.132000,7.392000,6.735000,2.424000,level_1_state_1
1765203866486,0.821000,0.611000,0.200000,0.131000,7.613000,7.001000,2.507000,level_1_state_1
1765203867041,0.821000,0.611000,0.199000,0.131000,7.502000,6.867000,2.465000,level_1_state_1
1765203867395,0.821000,0.610000,0.198000,0.132000,7.725000,7.135000,2.549000,level_1_state_1
1765203868255,0.820000,0.611000,0.198000,0.139000,8.290000,7.826000,2.761000,level_1_state_1
1765203868761,0.821000,0.611000,0.198000,0.139000,8.405000,7.967000,2.804000,level_1_state_1
1765203868861,0.821000,0.610000,0.200000,0.142000,8.868000,8.546000,2.980000,level_1_state_1
1765203869317,0.820000,0.610000,0.200000,0.144000,8.635000,8.254000,2.891000,level_1_state_1
1765203870027,0.820000,0.611000,0.201000,0.145000,8.985000,8.693000,3.024000,level_1_state_1
1765203870584,0.821000,0.610000,0.202000,0.148000,9.102000,8.842000,3.069000,level_1_state_1
1765203870686,0.820000,0.610000,0.203000,0.149000,9.220000,8.992000,3.114000,level_1_state_1
1765203871951,0.821000,0.610000,0.204000,0.151000,9.220000,8.992000,3.114000,level_1_state_1
1765203872001,0.820000,0.611000,0.204000,0.152000,9.457000,9.296000,3.205000,level_1_state_1
1765203872912,0.821000,0.610000,0.204000,0.153000,9.338000,9.144000,3.160000,level_1_state_1
