timestamp,GMXXX_NO2 (ppm),GMXXX_Ethanol (ppm),GMXXX_VOC (ppm),GMXXX_CO (ppm),MiCS5524_CO (ppm),MiCS5524_Ethanol (ppm),MiCS5524_VOC (ppm),label
1765201764007,0.917000,0.646000,0.186000,0.063000,4.882000,3.916000,1.515000,level_1_state_1
1765201764311,0.918000,0.646000,0.188000,0.063000,4.981000,4.020000,1.550000,level_1_state_1
1765201764616,0.916000,0.646000,0.188000,0.064000,4.882000,3.916000,1.515000,level_1_state_1
1765201765527,0.918000,0.646000,0.189000,0.064000,4.981000,4.020000,1.550000,level_1_state_1
1765201766033,0.921000,0.647000,0.193000,0.064000,5.081000,4.125000,1.585000,level_1_state_1
1765201766438,0.919000,0.646000,0.194000,0.064000,4.882000,3.916000,1.515000,level_1_state_1
1765201766539,0.920000,0.646000,0.194000,0.064000,4.882000,3.916000,1.515000,level_1_state_1
1765201767248,0.921000,0.647000,0.195000,0.064000,4.882000,3.916000,1.515000,level_1_state_1
1765201767756,0.921000,0.646000,0.197000,0.064000,4.882000,3.916000,1.515000,level_1_state_1
1765201768414,0.922000,0.646000,0.198000,0.064000,4.882000,3.916000,1.515000,level_1_state_1
1765201769174,0.923000,0.646000,0.200000,0.064000,5.181000,4.232000,1.620000,level_1_state_1
1765201769578,0.923000,0.646000,0.201000,0.064000,4.981000,4.020000,1.550000,level_1_state_1
1765201770388,0.924000,0.646000,0.202000,0.064000,4.882000,3.916000,1.515000,level_1_state_1
1765201770642,0.925000,0.646000,0.203000,0.064000,5.081000,4.125000,1.585000,level_1_state_1
1765201770844,0.925000,0.646000,0.204000,0.064000,4.882000,3.916000,1.515000,level_1_state_1
1765201771552,0.925000,0.646000,0.204000,0.065000,4.882000,3.916000,1.515000,level_1_state_1
1765201771654,0.925000,0.646000,0.205000,0.064000,5.181000,4.232000,1.620000,level_1_state_1
1765201772464,0.924000,0.645000,0.206000,0.064000,4.882000,3.916000,1.515000,level_1_state_1
1765201773424,0.926000,0.645000,0.209000,0.064000,4.981000,4.020000,1.550000,level_1_state_1
1765201773475,0.925000,0.645000,0.209000,0.064000,4.882000,3.916000,1.515000,level_1_state_1
1765201774082,0.926000,0.645000,0.210000,0.064000,4.981000,4.020000,1.550000,level_1_state_1
1765201774182,0.925000,0.645000,0.210000,0.064000,5.081000,4.125000,1.585000,level_1_state_1
1765201775043,0.927000,0.645000,0.211000,0.064000,4.981000,4.020000,1.550000,level_1_state_1
