timestamp,GMXXX_NO2 (ppm),GMXXX_Ethanol (ppm),GMXXX_VOC (ppm),GMXXX_CO (ppm),MiCS5524_CO (ppm),MiCS5524_Ethanol (ppm),MiCS5524_VOC (ppm),label
1765200625655,0.709000,0.695000,0.066000,0.042000,3.102000,2.164000,0.906000,idle
1765200626009,0.710000,0.696000,0.066000,0.042000,3.280000,2.328000,0.965000,idle
1765200626060,0.709000,0.696000,0.066000,0.042000,3.191000,2.245000,0.936000,idle
1765200626767,0.709000,0.695000,0.066000,0.042000,3.191000,2.245000,0.936000,idle
1765200627627,0.709000,0.695000,0.066000,0.042000,3.102000,2.164000,0.906000,idle
1765200627680,0.709000,0.695000,0.066000,0.042000,3.370000,2.412000,0.996000,idle
1765200628639,0.709000,0.695000,0.066000,0.042000,3.102000,2.164000,0.906000,idle
1765200630707,0.709000,0.695000,0.066000,0.042000,3.370000,2.412000,0.996000,idle
1765200631217,0.711000,0.695000,0.066000,0.042000,3.102000,2.164000,0.906000,idle
1765200631318,0.711000,0.696000,0.066000,0.042000,3.102000,2.164000,0.906000,idle
1765200631925,0.711000,0.695000,0.066000,0.042000,3.102000,2.164000,0.906000,idle
1765200632937,0.709000,0.694000,0.066000,0.042000,3.461000,2.497000,1.026000,idle
1765200634504,0.711000,0.695000,0.066000,0.041000,3.370000,2.412000,0.996000,idle
1765200635110,0.710000,0.695000,0.066000,0.042000,3.102000,2.164000,0.906000,idle
1765200635514,0.710000,0.695000,0.066000,0.042000,3.191000,2.245000,0.936000,idle
1765200636321,0.710000,0.695000,0.066000,0.042000,3.191000,2.245000,0.936000,idle
1765200636829,0.709000,0.695000,0.066000,0.042000,3.102000,2.164000,0.906000,idle
1765200637535,0.709000,0.694000,0.066000,0.041000,3.102000,2.164000,0.906000,idle
1765200637587,0.709000,0.694000,0.066000,0.042000,3.191000,2.245000,0.936000,idle
1765200638395,0.708000,0.695000,0.066000,0.041000,3.102000,2.164000,0.906000,idle
1765200639384,0.709000,0.694000,0.066000,0.042000,3.191000,2.245000,0.936000,idle
1765200639485,0.709000,0.694000,0.066000,0.041000,3.280000,2.328000,0.965000,idle
1765200640142,0.710000,0.695000,0.066000,0.042000,3.102000,2.164000,0.906000,idle
1765200640897,0.709000,0.694000,0.067000,0.042000,3.102000,2.164000,0.906000,idle
1765200641050,0.710000,0.695000,0.066000,0.042000,3.191000,2.245000,0.936000,idle
1765200641358,0.709000,0.695000,0.066000,0.042000,3.102000,2.164000,0.906000,idle
1765200641459,0.710000,0.695000,0.066000,0.042000,3.102000,2.164000,0.906000,idle
1765200642972,0.709000,0.694000,0.066000,0.041000,3.280000,2.328000,0.965000,idle
1765200643452,0.710000,0.695000,0.067000,0.042000,3.280000,2.328000,0.965000,idle
1765200645373,0.707000,0.694000,0.067000,0.041000,3.102000,2.164000,0.906000,idle
1765200646636,0.708000,0.695000,0.066000,0.041000,3.280000,2.328000,0.965000,idle
1765200647748,0.710000,0.695000,0.067000,0.041000,3.102000,2.164000,0.906000,idle
1765200660331,0.709000,0.694000,0.066000,0.041000,3.370000,2.412000,0.996000,idle
1765200661548,0.709000,0.694000,0.066000,0.042000,3.644000,2.671000,1.087000,idle
1765200663270,0.709000,0.694000,0.067000,0.042000,3.280000,2.328000,0.965000,idle
