timestamp,GMXXX_NO2 (ppm),GMXXX_Ethanol (ppm),GMXXX_VOC (ppm),GMXXX_CO (ppm),MiCS5524_CO (ppm),MiCS5524_Ethanol (ppm),MiCS5524_VOC (ppm),label
1765203148875,0.783000,0.623000,0.069000,0.051000,3.280000,2.328000,0.965000,idle
1765203148976,0.783000,0.622000,0.068000,0.051000,3.370000,2.412000,0.996000,idle
1765203149278,0.783000,0.623000,0.068000,0.051000,3.191000,2.245000,0.936000,idle
1765203149681,0.784000,0.623000,0.068000,0.051000,3.191000,2.245000,0.936000,idle
1765203149782,0.783000,0.622000,0.068000,0.050000,3.191000,2.245000,0.936000,idle
1765203150588,0.782000,0.622000,0.068000,0.051000,3.191000,2.245000,0.936000,idle
1765203150638,0.781000,0.622000,0.068000,0.052000,3.370000,2.412000,0.996000,idle
1765203151348,0.782000,0.622000,0.068000,0.052000,3.191000,2.245000,0.936000,idle
1765203152108,0.781000,0.622000,0.069000,0.051000,3.280000,2.328000,0.965000,idle
1765203152916,0.781000,0.622000,0.069000,0.052000,3.461000,2.497000,1.026000,idle
1765203153777,0.781000,0.622000,0.068000,0.053000,3.280000,2.328000,0.965000,idle
1765203154585,0.782000,0.622000,0.068000,0.053000,3.552000,2.583000,1.057000,idle
1765203155092,0.781000,0.622000,0.068000,0.053000,3.552000,2.583000,1.057000,idle
1765203155193,0.781000,0.622000,0.068000,0.053000,3.370000,2.412000,0.996000,idle
1765203157924,0.781000,0.623000,0.069000,0.052000,3.461000,2.497000,1.026000,idle
1765203158380,0.781000,0.623000,0.068000,0.053000,3.461000,2.497000,1.026000,idle
1765203158682,0.781000,0.622000,0.069000,0.054000,3.644000,2.671000,1.087000,idle
1765203159540,0.780000,0.622000,0.069000,0.053000,3.370000,2.412000,0.996000,idle
1765203159591,0.781000,0.623000,0.069000,0.054000,3.644000,2.671000,1.087000,idle
1765203160551,0.781000,0.622000,0.069000,0.053000,3.461000,2.497000,1.026000,idle
1765203160955,0.781000,0.622000,0.069000,0.054000,3.829000,2.849000,1.150000,idle
1765203161562,0.781000,0.622000,0.069000,0.054000,3.736000,2.759000,1.119000,idle
1765203161865,0.781000,0.622000,0.069000,0.054000,3.461000,2.497000,1.026000,idle
1765203162572,0.781000,0.622000,0.069000,0.055000,3.644000,2.671000,1.087000,idle
1765203163381,0.780000,0.622000,0.069000,0.056000,3.736000,2.759000,1.119000,idle
1765203164140,0.779000,0.622000,0.069000,0.056000,3.736000,2.759000,1.119000,idle
1765203165050,0.779000,0.622000,0.070000,0.058000,4.205000,3.221000,1.279000,idle
1765203165151,0.779000,0.622000,0.070000,0.059000,4.110000,3.126000,1.246000,idle
1765203165956,0.779000,0.622000,0.070000,0.058000,3.736000,2.759000,1.119000,idle
1765203166360,0.779000,0.622000,0.070000,0.060000,4.205000,3.221000,1.279000,idle
1765203166862,0.779000,0.621000,0.071000,0.061000,4.300000,3.316000,1.312000,idle
1765203167518,0.779000,0.622000,0.071000,0.063000,4.589000,3.611000,1.412000,idle
1765203168072,0.780000,0.622000,0.071000,0.063000,4.110000,3.126000,1.246000,idle
1765203168728,0.778000,0.622000,0.072000,0.062000,3.922000,2.940000,1.182000,idle
1765203168829,0.779000,0.622000,0.071000,0.060000,3.922000,2.940000,1.182000,idle
1765203169634,0.779000,0.622000,0.071000,0.059000,3.644000,2.671000,1.087000,idle
1765203171145,0.777000,0.621000,0.071000,0.057000,3.736000,2.759000,1.119000,idle
1765203171800,0.777000,0.621000,0.071000,0.058000,3.829000,2.849000,1.150000,idle
1765203172607,0.777000,0.621000,0.071000,0.058000,3.644000,2.671000,1.087000,idle
1765203172657,0.777000,0.621000,0.071000,0.056000,3.736000,2.759000,1.119000,idle
1765203175327,0.777000,0.621000,0.070000,0.053000,3.191000,2.245000,0.936000,idle
1765203176081,0.777000,0.621000,0.069000,0.052000,3.191000,2.245000,0.936000,idle
1765203176182,0.776000,0.621000,0.069000,0.052000,3.461000,2.497000,1.026000,idle
1765203176991,0.776000,0.621000,0.069000,0.052000,3.191000,2.245000,0.936000,idle
1765203177042,0.775000,0.621000,0.069000,0.051000,3.370000,2.412000,0.996000,idle
1765203177748,0.775000,0.621000,0.068000,0.051000,3.191000,2.245000,0.936000,idle
1765203178356,0.775000,0.621000,0.068000,0.051000,3.191000,2.245000,0.936000,idle
1765203179467,0.774000,0.621000,0.068000,0.050000,3.280000,2.328000,0.965000,idle
1765203179972,0.775000,0.621000,0.067000,0.051000,3.191000,2.245000,0.936000,idle
1765203181490,0.774000,0.621000,0.067000,0.051000,3.280000,2.328000,0.965000,idle
1765203182550,0.773000,0.621000,0.067000,0.050000,3.191000,2.245000,0.936000,idle
1765203183056,0.774000,0.621000,0.067000,0.050000,3.370000,2.412000,0.996000,idle
1765203183813,0.773000,0.621000,0.066000,0.050000,3.280000,2.328000,0.965000,idle
1765203185026,0.773000,0.621000,0.066000,0.051000,3.280000,2.328000,0.965000,idle
1765203185733,0.772000,0.620000,0.066000,0.051000,3.370000,2.412000,0.996000,idle
1765203186136,0.772000,0.621000,0.066000,0.051000,3.461000,2.497000,1.026000,idle
1765203186238,0.770000,0.620000,0.066000,0.050000,3.280000,2.328000,0.965000,idle
1765203187096,0.771000,0.621000,0.065000,0.050000,3.191000,2.245000,0.936000,idle
1765203187400,0.770000,0.621000,0.066000,0.051000,3.461000,2.497000,1.026000,idle
1765203187904,0.770000,0.621000,0.065000,0.050000,3.191000,2.245000,0.936000,idle
1765203188359,0.770000,0.620000,0.065000,0.050000,3.280000,2.328000,0.965000,idle
1765203188511,0.770000,0.620000,0.065000,0.051000,3.461000,2.497000,1.026000,idle
1765203189218,0.770000,0.620000,0.065000,0.052000,3.736000,2.759000,1.119000,idle
1765203190077,0.769000,0.620000,0.065000,0.052000,3.552000,2.583000,1.057000,idle
1765203190481,0.769000,0.620000,0.065000,0.053000,3.736000,2.759000,1.119000,idle
1765203191136,0.770000,0.619000,0.065000,0.054000,3.736000,2.759000,1.119000,idle
1765203192698,0.770000,0.620000,0.066000,0.054000,3.552000,2.583000,1.057000,idle
1765203192799,0.769000,0.620000,0.066000,0.055000,3.644000,2.671000,1.087000,idle
1765203193706,0.770000,0.620000,0.066000,0.054000,3.552000,2.583000,1.057000,idle
1765203193807,0.769000,0.620000,0.066000,0.054000,3.829000,2.849000,1.150000,idle
1765203195166,0.769000,0.619000,0.066000,0.054000,3.829000,2.849000,1.150000,level_1_state_1
1765203195824,0.769000,0.619000,0.067000,0.058000,4.300000,3.316000,1.312000,level_1_state_1
1765203196582,0.770000,0.620000,0.068000,0.061000,4.589000,3.611000,1.412000,level_1_state_1
1765203196683,0.769000,0.619000,0.068000,0.062000,4.589000,3.611000,1.412000,level_1_state_1
1765203197288,0.769000,0.620000,0.068000,0.060000,4.205000,3.221000,1.279000,level_1_state_1
1765203197590,0.769000,0.619000,0.068000,0.059000,4.016000,3.033000,1.214000,level_1_state_1
1765203198197,0.768000,0.619000,0.067000,0.058000,3.922000,2.940000,1.182000,level_1_state_1
1765203199056,0.768000,0.619000,0.069000,0.062000,4.882000,3.916000,1.515000,level_1_state_1
1765203199358,0.768000,0.619000,0.072000,0.075000,8.520000,8.110000,2.848000,level_1_state_1
1765203199459,0.768000,0.618000,0.074000,0.080000,8.290000,7.826000,2.761000,level_1_state_1
1765203200371,0.768000,0.618000,0.075000,0.080000,7.725000,7.135000,2.549000,level_1_state_1
1765203200878,0.768000,0.618000,0.076000,0.078000,6.738000,5.967000,2.183000,level_1_state_1
1765203201588,0.768000,0.618000,0.076000,0.072000,5.081000,4.125000,1.585000,level_1_state_1
1765203201993,0.768000,0.618000,0.082000,0.089000,10.921000,11.221000,3.773000,level_1_state_1
1765203202649,0.769000,0.618000,0.086000,0.102000,13.654000,15.027000,4.860000,level_1_state_1
1765203203407,0.772000,0.617000,0.106000,0.134000,19.175000,23.427000,7.141000,level_1_state_1
