timestamp,GMXXX_NO2 (ppm),GMXXX_Ethanol (ppm),GMXXX_VOC (ppm),GMXXX_CO (ppm),MiCS5524_CO (ppm),MiCS5524_Ethanol (ppm),MiCS5524_VOC (ppm),label
1765201412648,0.878000,0.670000,0.136000,0.054000,3.736000,2.759000,1.119000,level_1_state_2
1765201412749,0.879000,0.669000,0.136000,0.054000,3.922000,2.940000,1.182000,level_1_state_2
1765201414514,0.878000,0.670000,0.136000,0.054000,3.922000,2.940000,1.182000,level_1_state_2
1765201415978,0.877000,0.670000,0.135000,0.053000,4.110000,3.126000,1.246000,level_1_state_2
1765201416787,0.879000,0.670000,0.135000,0.053000,4.016000,3.033000,1.214000,level_1_state_2
1765201417999,0.877000,0.670000,0.134000,0.053000,3.922000,2.940000,1.182000,level_1_state_2
1765201419104,0.877000,0.669000,0.134000,0.053000,4.110000,3.126000,1.246000,level_1_state_2
1765201420565,0.874000,0.670000,0.133000,0.053000,4.205000,3.221000,1.279000,level_1_state_2
1765201422276,0.874000,0.669000,0.132000,0.053000,4.016000,3.033000,1.214000,level_1_state_2
1765201423539,0.874000,0.669000,0.131000,0.053000,4.300000,3.316000,1.312000,level_1_state_2
1765201424394,0.875000,0.670000,0.131000,0.053000,4.205000,3.221000,1.279000,level_1_state_2
1765201426866,0.874000,0.669000,0.130000,0.053000,4.110000,3.126000,1.246000,level_1_state_2
1765201427523,0.872000,0.669000,0.129000,0.053000,4.589000,3.611000,1.412000,level_1_state_2
1765201428530,0.873000,0.670000,0.129000,0.053000,4.205000,3.221000,1.279000,level_1_state_2
1765201429085,0.873000,0.670000,0.130000,0.054000,4.110000,3.126000,1.246000,level_1_state_2
1765201429337,0.876000,0.669000,0.131000,0.055000,3.922000,2.940000,1.182000,level_1_state_2
1765201429691,0.878000,0.670000,0.132000,0.056000,4.016000,3.033000,1.214000,level_1_state_2
1765201429994,0.878000,0.669000,0.132000,0.055000,4.016000,3.033000,1.214000,level_1_state_2
1765201430196,0.879000,0.669000,0.133000,0.056000,4.205000,3.221000,1.279000,level_1_state_2
1765201430950,0.882000,0.669000,0.133000,0.056000,4.110000,3.126000,1.246000,level_1_state_2
1765201432009,0.882000,0.669000,0.134000,0.056000,4.300000,3.316000,1.312000,level_1_state_2
1765201433571,0.883000,0.669000,0.134000,0.056000,4.110000,3.126000,1.246000,level_1_state_2
1765201434785,0.881000,0.669000,0.133000,0.055000,4.300000,3.316000,1.312000,level_1_state_2
1765201446529,0.872000,0.669000,0.126000,0.053000,4.205000,3.221000,1.279000,level_1_state_2
1765201447186,0.871000,0.669000,0.126000,0.053000,4.016000,3.033000,1.214000,level_1_state_2
1765201448494,0.870000,0.668000,0.126000,0.053000,4.016000,3.033000,1.214000,level_1_state_2
1765201452476,0.870000,0.669000,0.126000,0.055000,4.300000,3.316000,1.312000,level_1_state_2
1765201454748,0.870000,0.669000,0.127000,0.055000,4.300000,3.316000,1.312000,level_1_state_2
1765201455352,0.872000,0.669000,0.128000,0.055000,3.736000,2.759000,1.119000,level_1_state_2
1765201455907,0.873000,0.669000,0.128000,0.055000,3.829000,2.849000,1.150000,level_1_state_2
1765201456310,0.873000,0.668000,0.128000,0.055000,3.736000,2.759000,1.119000,level_1_state_2
1765201457218,0.872000,0.668000,0.128000,0.055000,3.829000,2.849000,1.150000,level_1_state_2
1765201459286,0.870000,0.668000,0.126000,0.055000,4.205000,3.221000,1.279000,level_1_state_2
1765201459640,0.871000,0.669000,0.127000,0.055000,4.205000,3.221000,1.279000,level_1_state_2
1765201459891,0.871000,0.669000,0.127000,0.055000,4.016000,3.033000,1.214000,level_1_state_2
1765201460293,0.873000,0.669000,0.128000,0.055000,3.736000,2.759000,1.119000,level_1_state_2
1765201460797,0.871000,0.670000,0.127000,0.055000,3.922000,2.940000,1.182000,level_1_state_2
1765201461150,0.869000,0.668000,0.127000,0.055000,3.829000,2.849000,1.150000,level_1_state_2
1765201461554,0.870000,0.668000,0.126000,0.056000,4.016000,3.033000,1.214000,level_1_state_2
1765201461605,0.869000,0.668000,0.127000,0.055000,3.829000,2.849000,1.150000,level_1_state_2
1765201463523,0.869000,0.669000,0.126000,0.055000,3.922000,2.940000,1.182000,level_1_state_2
1765201463979,0.867000,0.669000,0.125000,0.055000,4.016000,3.033000,1.214000,level_1_state_2
1765201463978,0.867000,0.669000,0.126000,0.055000,3.829000,2.849000,1.150000,level_1_state_2
1765201464583,0.866000,0.667000,0.125000,0.055000,3.736000,2.759000,1.119000,level_1_state_2
1765201464987,0.866000,0.667000,0.125000,0.055000,3.736000,2.759000,1.119000,level_1_state_2
1765201465947,0.866000,0.667000,0.124000,0.055000,3.736000,2.759000,1.119000,level_1_state_2
1765201466300,0.867000,0.667000,0.125000,0.055000,4.016000,3.033000,1.214000,level_1_state_2
1765201466502,0.869000,0.668000,0.125000,0.055000,3.922000,2.940000,1.182000,level_1_state_2
1765201467004,0.869000,0.668000,0.125000,0.055000,3.736000,2.759000,1.119000,level_1_state_2
1765201467105,0.869000,0.669000,0.126000,0.055000,3.922000,2.940000,1.182000,level_1_state_2
1765201468065,0.868000,0.668000,0.125000,0.055000,3.736000,2.759000,1.119000,level_1_state_2
1765201468821,0.869000,0.669000,0.125000,0.056000,3.922000,2.940000,1.182000,level_1_state_2
1765201468972,0.868000,0.668000,0.126000,0.056000,3.829000,2.849000,1.150000,level_1_state_2
1765201469225,0.868000,0.668000,0.126000,0.056000,3.736000,2.759000,1.119000,level_1_state_2
1765201469882,0.868000,0.668000,0.126000,0.056000,3.736000,2.759000,1.119000,level_1_state_2
1765201470387,0.868000,0.669000,0.125000,0.056000,3.922000,2.940000,1.182000,level_1_state_2
1765201470991,0.867000,0.668000,0.125000,0.056000,3.736000,2.759000,1.119000,level_1_state_2
1765201471193,0.866000,0.669000,0.125000,0.056000,3.829000,2.849000,1.150000,level_1_state_2
1765201472151,0.865000,0.669000,0.124000,0.056000,3.736000,2.759000,1.119000,level_1_state_2
1765201472858,0.864000,0.667000,0.124000,0.056000,3.829000,2.849000,1.150000,level_1_state_2
1765201473161,0.864000,0.669000,0.124000,0.055000,4.016000,3.033000,1.214000,level_1_state_2
1765201473513,0.864000,0.669000,0.123000,0.055000,3.922000,2.940000,1.182000,level_1_state_2
1765201473918,0.864000,0.669000,0.123000,0.055000,3.922000,2.940000,1.182000,level_1_state_2
1765201474070,0.862000,0.669000,0.122000,0.055000,3.922000,2.940000,1.182000,level_1_state_2
1765201475130,0.861000,0.668000,0.121000,0.055000,3.829000,2.849000,1.150000,level_1_state_2
1765201475633,0.861000,0.669000,0.121000,0.055000,3.829000,2.849000,1.150000,level_1_state_2
1765201475987,0.861000,0.669000,0.121000,0.055000,3.736000,2.759000,1.119000,level_1_state_2
1765201476543,0.861000,0.669000,0.121000,0.055000,3.922000,2.940000,1.182000,level_1_state_2
1765201476593,0.862000,0.668000,0.121000,0.055000,4.016000,3.033000,1.214000,level_1_state_2
1765201477451,0.861000,0.668000,0.121000,0.055000,3.829000,2.849000,1.150000,level_1_state_2
1765201478155,0.862000,0.669000,0.121000,0.055000,3.829000,2.849000,1.150000,level_1_state_2
1765201478711,0.861000,0.668000,0.120000,0.055000,3.922000,2.940000,1.182000,level_1_state_2
1765201478913,0.861000,0.668000,0.121000,0.055000,4.016000,3.033000,1.214000,level_1_state_2
1765201479015,0.861000,0.668000,0.121000,0.055000,3.829000,2.849000,1.150000,level_1_state_2
1765201479772,0.861000,0.667000,0.121000,0.055000,4.016000,3.033000,1.214000,level_1_state_2
1765201480430,0.861000,0.668000,0.121000,0.055000,3.829000,2.849000,1.150000,level_1_state_2
1765201480481,0.862000,0.668000,0.121000,0.055000,3.922000,2.940000,1.182000,level_1_state_2
1765201481137,0.861000,0.667000,0.120000,0.055000,3.736000,2.759000,1.119000,level_1_state_2
1765201481640,0.862000,0.668000,0.121000,0.056000,3.922000,2.940000,1.182000,level_1_state_2
1765201482345,0.864000,0.667000,0.121000,0.056000,3.736000,2.759000,1.119000,level_1_state_2
1765201482902,0.864000,0.668000,0.121000,0.055000,3.922000,2.940000,1.182000,level_1_state_2
1765201483708,0.865000,0.667000,0.121000,0.056000,3.922000,2.940000,1.182000,level_1_state_2
1765201483759,0.865000,0.667000,0.122000,0.056000,4.110000,3.126000,1.246000,level_1_state_2
1765201484717,0.865000,0.668000,0.122000,0.056000,3.829000,2.849000,1.150000,level_1_state_2
1765201485172,0.865000,0.668000,0.122000,0.056000,4.110000,3.126000,1.246000,level_1_state_2
1765201485575,0.866000,0.669000,0.122000,0.056000,3.922000,2.940000,1.182000,level_1_state_2
1765201485676,0.865000,0.668000,0.122000,0.056000,3.922000,2.940000,1.182000,level_1_state_2
1765201486232,0.866000,0.668000,0.122000,0.056000,3.829000,2.849000,1.150000,level_1_state_2
1765201486333,0.866000,0.668000,0.122000,0.055000,3.922000,2.940000,1.182000,level_1_state_2
1765201486889,0.866000,0.669000,0.122000,0.056000,3.736000,2.759000,1.119000,level_1_state_2
